All transcripts| 4507 entries on 5 pages. Showing entries 1 - 4507.
ID	Chr	Gene ID	Name	NCBI ID	NCBI Protein ID	Variants
00000038	9	APTX	transcript variant 2	NM_175069.2	NP_778239.1	25
00000039	9	APTX	transcript variant 1	NM_175073.2	NP_778243.1	25
00000040	9	APTX	transcript variant 9	NM_001195251.1	NP_001182180.1	25
00000041	9	APTX	transcript variant 10	NM_001195254.1	NP_001182183.1	25
00000042	9	APTX	transcript variant 14	NR_036578.1	-	25
00000043	9	APTX	transcript variant 15	NR_036579.1	-	25
00000044	9	APTX	transcript variant 7	NM_001195249.1	NP_001182178.1	25
00000045	20	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	NM_006886.3	NP_008817.1	2
00000046	9	AUH	AU RNA binding protein/enoyl-CoA hydratase	NM_001698.2	NP_001689.1	37
00000047	9	AUH	transcript variant X3	XM_005252068.1	XP_005252125.1	37
00000048	9	AUH	transcript variant X6	XM_005252071.1	XP_005252128.1	37
00000049	9	AUH	transcript variant X5	XM_005252070.1	XP_005252127.1	37
00000050	9	AUH	transcript variant X2	XM_005252067.1	XP_005252124.1	37
00000051	9	AUH	transcript variant X1	XM_005252066.1	XP_005252123.1	37
00000052	9	AUH	transcript variant X8	XM_005252073.1	XP_005252130.1	24
00000053	9	AUH	transcript variant X4	XM_005252069.1	XP_005252126.1	37
00000054	9	AUH	transcript variant X7	XM_005252072.1	XP_005252129.1	20
00000055	2	BOLA3	bolA homolog 3 (E. coli), transcript variant 2	NM_001035505.1	NP_001030582.1	10
00000056	2	BOLA3	bolA homolog 3 (E. coli), transcript variant 1	NM_212552.2	NP_997717.2	10
00000057	10	C10orf2	transcript variant 2	NM_001163812.1	NP_001157284.1	101
00000058	10	C10orf2	transcript variant 1	NM_021830.4	NP_068602.2	101
00000059	10	C10orf2	transcript variant 4	NM_001163814.1	NP_001157286.1	101
00000060	10	C10orf2	transcript variant 3	NM_001163813.1	NP_001157285.1	101
00000061	10	C10orf2	transcript variant X1	XR_246100.1	-	101
00000062	12	C12orf65	transcript variant 1	NM_152269.4	NP_689482.1	31
00000063	12	C12orf65	transcript variant X2	XM_005253631.1	XP_005253688.1	31
00000064	12	C12orf65	transcript variant X1	XM_005253630.1	XP_005253687.1	31
00000065	12	C12orf65	transcript variant 3	NM_001194995.1	NP_001181924.1	31
00000066	12	C12orf65	transcript variant 2	NM_001143905.2	NP_001137377.1	31
00000067	4	CISD2	transcript variant X1	XM_005263040.1	XP_005263097.1	1
00000068	4	CISD2	CDGSH iron sulfur domain 2	NM_001008388.4	NP_001008389.1	1
00000069	2	COA5	cytochrome c oxidase assembly factor 5	NM_001008215.2	NP_001008216.1	1
00000070	4	COQ2	transcript variant X1	XM_005262926.1	XP_005262983.1	32
00000071	4	COQ2	transcript variant X2	XM_005262927.1	XP_005262984.1	32
00000072	4	COQ2	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase	NM_015697.7	NP_056512.5	32
00000073	14	COQ6	coenzyme Q6 homolog, monooxygenase (S. cerevisiae), transcript variant 2	NM_182480.2	NP_872286.2	13
00000074	14	COQ6	coenzyme Q6 homolog, monooxygenase (S. cerevisiae), transcript variant 1	NM_182476.2	NP_872282.1	13
00000075	16	COQ9	coenzyme Q9 homolog (S. cerevisiae)	NM_020312.3	NP_064708.1	31
00000076	17	COX10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)	NM_001303.3	NP_001294.2	69
00000077	12	COX14	transcript variant X1	XM_005269199.1	XP_005269256.1	2
00000078	12	COX14	transcript variant 3	NM_001257134.1	NP_001244063.1	2
00000079	12	COX14	transcript variant 2	NM_001257133.1	NP_001244062.1	2
00000080	12	COX14	transcript variant 1	NM_032901.3	NP_116290.1	2
00000081	12	COX14	transcript variant X2	XM_005269200.1	XP_005269257.1	2
00000082	10	COX15	transcript variant X1	XM_005269539.1	XP_005269596.1	84
00000083	10	COX15	transcript variant 2	NM_004376.5	NP_004367.2	84
00000084	10	COX15	transcript variant 1	NM_078470.4	NP_510870.1	84
00000085	1	COX20	transcript variant X2	XM_005273040.1	XP_005273097.1	3
00000086	1	COX20	COX20 cytochrome C oxidase assembly factor	NM_198076.4	NP_932342.1	3
00000087	1	COX20	transcript variant X1	XM_005273039.1	XP_005273096.1	3
00000088	19	COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)	NM_001863.4	NP_001854.1	10
00000089	1	DARS2	transcript variant X1	XM_005245299.1	XP_005245356.1	60
00000090	1	DARS2	transcript variant X2	XM_005245300.1	XP_005245357.1	44
00000091	1	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	NM_018122.4	NP_060592.2	60
00000092	2	DGUOK	transcript variant 1	NM_080916.1	NP_550438.1	49
00000093	2	DGUOK	transcript variant 2	NM_080918.1	NP_550440.1	49
00000094	11	DLAT	dihydrolipoamide S-acetyltransferase	NM_001931.4	NP_001922.2	14
00000095	7	DLD	dihydrolipoamide dehydrogenase	NM_000108.3	NP_000099.2	42
00000096	3	DNAJC19	transcript variant 3	NR_033721.1	-	25
00000097	3	DNAJC19	transcript variant 4	NR_033722.1	-	25
00000098	3	DNAJC19	transcript variant 5	NR_033723.1	-	25
00000099	3	DNAJC19	transcript variant 1	NM_145261.3	NP_660304.1	26
00000100	3	DNAJC19	transcript variant 2	NM_001190233.1	NP_001177162.1	25
00000101	3	DNAJC19	transcript variant 6	NR_033724.1	-	25
00000102	3	DNAJC19	transcript variant 7	NR_033725.1	-	25
00000103	12	DNM1L	transcript variant 5	NM_001278464.1	NP_001265393.1	24
00000104	12	DNM1L	transcript variant 6	NM_001278465.1	NP_001265394.1	24
00000105	12	DNM1L	transcript variant 7	NM_001278466.1	NP_001265395.1	24
00000106	12	DNM1L	transcript variant 1	NM_012062.4	NP_036192.2	24
00000107	12	DNM1L	transcript variant 4	NM_001278463.1	NP_001265392.1	24
00000108	12	DNM1L	transcript variant 2	NM_012063.3	NP_036193.2	24
00000109	12	DNM1L	transcript variant 3	NM_005690.4	NP_005681.2	24
00000110	12	DNM1L	transcript variant X1	XM_005253282.1	XP_005253339.1	24
00000111	12	DNM1L	transcript variant X2	XM_005253283.1	XP_005253340.1	24
00000112	16	EARS2	glutamyl-tRNA synthetase 2, mitochondrial (putative), transcript variant 2	NR_003501.1	-	71
00000113	16	EARS2	glutamyl-tRNA synthetase 2, mitochondrial (putative), transcript variant 1	NM_001083614.1	NP_001077083.1	71
00000114	15	ETFA	transcript variant 2	NM_001127716.1	NP_001121188.1	29
00000115	15	ETFA	transcript variant 1	NM_000126.3	NP_000117.1	29
00000116	19	ETFB	transcript variant 1	NM_001985.2	NP_001976.1	14
00000117	19	ETFB	transcript variant 2	NM_001014763.1	NP_001014763.1	14
00000118	4	ETFDH	electron-transferring-flavoprotein dehydrogenase	NM_004453.2	NP_004444.2	55
00000119	19	ETHE1	ethylmalonic encephalopathy 1	NM_014297.3	NP_055112.2	98
00000120	19	ETHE1	transcript variant X3	XM_005258688.1	XP_005258745.1	98
00000121	19	ETHE1	transcript variant X2	XM_005258687.1	XP_005258744.1	98
00000122	19	ETHE1	transcript variant X1	XM_005258686.1	XP_005258743.1	98
00000123	6	FARS2	transcript variant X1	XM_005248811.1	XP_005248868.1	82
00000124	6	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	NM_006567.3	NP_006558.1	82
00000125	6	FARS2	transcript variant X3	XM_005248813.1	XP_005248870.1	52
00000126	6	FARS2	transcript variant X4	XM_005248814.1	XP_005248871.1	34
00000127	6	FARS2	transcript variant X2	XM_005248812.1	XP_005248869.1	82
00000128	2	FASTKD2	transcript variant 1	NM_001136194.1	NP_001129666.1	84
00000129	2	FASTKD2	transcript variant 2	NM_001136193.1	NP_001129665.1	84
00000130	2	FASTKD2	transcript variant 3	NM_014929.3	NP_055744.2	84
00000131	9	FBP1	transcript variant 2	NM_001127628.1	NP_001121100.1	0
00000132	9	FBP1	transcript variant 1	NM_000507.3	NP_000498.2	0
00000133	1	FH	fumarate hydratase	NM_000143.3	NP_000134.2	0
00000134	11	FOXRED1	transcript variant 1	NM_017547.3	NP_060017.1	44
00000135	11	FOXRED1	transcript variant 3	NR_037647.1	-	44
00000136	11	FOXRED1	transcript variant 2	NR_037648.1	-	44
00000137	17	G6PC	transcript variant 1	NM_000151.3	NP_000142.2	0
00000138	17	G6PC	transcript variant 2	NM_001270397.1	NP_001257326.1	0
00000139	16	GFER	growth factor, augmenter of liver regeneration	NM_005262.2	NP_005253.3	5
00000140	5	GFM2	transcript variant 2	NM_170691.2	NP_733792.1	6
00000141	5	GFM2	transcript variant 5	NR_104006.1	-	6
00000142	5	GFM2	transcript variant 1	NM_032380.4	NP_115756.2	6
00000143	5	GFM2	transcript variant 4	NM_001281302.1	NP_001268231.1	6
00000144	5	GFM2	transcript variant 3	NM_170681.2	NP_733781.1	4
00000145	12	GYS2	transcript variant X1	XM_005253352.1	XP_005253409.1	0
00000146	12	GYS2	transcript variant X3	XM_005253354.1	XP_005253411.1	0
00000147	12	GYS2	transcript variant X2	XM_005253353.1	XP_005253410.1	0
00000148	12	GYS2	glycogen synthase 2 (liver)	NM_021957.3	NP_068776.2	0
00000149	5	HARS2	transcript variant 3	NM_001278732.1	NP_001265661.1	10
00000150	5	HARS2	transcript variant 1	NM_012208.3	NP_036340.1	10
00000151	5	HARS2	transcript variant 2	NM_001278731.1	NP_001265660.1	10
00000152	5	HARS2	transcript variant X1	XM_005268409.1	XP_005268466.1	10
00000153	21	HLCS	transcript variant 1	NM_000411.6	NP_000402.3	0
00000154	21	HLCS	transcript variant 2	NM_001242785.1	NP_001229714.1	0
00000155	21	HLCS	transcript variant 3	NM_001242784.1	NP_001229713.1	0
00000156	2	HSPD1	transcript variant 2	NM_199440.1	NP_955472.1	2
00000157	2	HSPD1	transcript variant 1	NM_002156.4	NP_002147.2	2
00000158	12	ISCU	iron-sulfur cluster scaffold homolog (E. coli), transcript variant X1	XM_005268760.1	XP_005268817.1	3
00000159	12	ISCU	iron-sulfur cluster scaffold homolog (E. coli), transcript variant 1	NM_014301.3	NP_055116.1	3
00000160	12	ISCU	iron-sulfur cluster scaffold homolog (E. coli), transcript variant 2	NM_213595.2	NP_998760.1	3
00000161	12	ISCU	iron-sulfur cluster scaffold homolog (E. coli), transcript variant X2	XM_005268761.1	XP_005268818.1	3
00000162	5	LARS	leucyl-tRNA synthetase	NM_020117.9	NP_064502.9	0
00000163	4	LIAS	transcript variant 1	NM_006859.3	NP_006850.2	50
00000164	4	LIAS	transcript variant 2	NM_194451.2	NP_919433.1	50
00000165	4	LIAS	transcript variant 3	NM_001278590.1	NP_001265519.1	50
00000166	4	LIAS	transcript variant 4	NM_001278591.1	NP_001265520.1	42
00000167	4	LIAS	transcript variant 5	NM_001278592.1	NP_001265521.1	42
00000168	2	LRPPRC	leucine-rich PPR-motif containing	NM_133259.3	NP_573566.2	169
00000169	2	MARS2	methionyl-tRNA synthetase 2, mitochondrial	NM_138395.3	NP_612404.1	2
00000170	6	MPC1	transcript variant 1	NM_016098.3	NP_057182.1	5
00000171	6	MPC1	transcript variant 2	NM_001270879.1	NP_001257808.1	5
00000172	6	MPC1	transcript variant 3	NR_073093.1	-	5
00000173	2	MPV17	MpV17 mitochondrial inner membrane protein	NM_002437.4	NP_002428.1	64
00000174	2	MRPL44	mitochondrial ribosomal protein L44	NM_022915.3	NP_075066.1	4
00000175	10	MRPS16	mitochondrial ribosomal protein S16	NM_016065.3	NP_057149.1	52
00000176	3	MRPS22	mitochondrial ribosomal protein S22	NM_020191.2	NP_064576.1	18
00000177	15	MTFMT	mitochondrial methionyl-tRNA formyltransferase	NM_139242.3	NP_640335.2	23
00000178	6	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae), transcript variant 1	NM_133645.2	NP_598400.1	52
00000179	6	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae), transcript variant 3	NM_001123226.1	NP_001116698.1	52
00000180	6	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae), transcript variant 2	NM_012123.3	NP_036255.2	52
00000181	10	MTPAP	mitochondrial poly(A) polymerase	NM_018109.3	NP_060579.3	6
00000182	X	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	NM_004541.3	NP_004532.1	6
00000183	2	NDUFA10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa	NM_004544.3	NP_004535.1	71
00000184	19	NDUFA11	transcript variant 2	NM_001193375.1	NP_001180304.1	17
00000185	19	NDUFA11	transcript variant 1	NM_175614.4	NP_783313.1	17
00000186	19	NDUFA11	transcript variant 3	NR_034166.2	-	17
00000187	12	NDUFA12	transcript variant 2	NM_001258338.1	NP_001245267.1	2
00000188	12	NDUFA12	transcript variant 1	NM_018838.4	NP_061326.1	2
00000189	5	NDUFA2	transcript variant 1	NM_002488.4	NP_002479.1	11
00000190	5	NDUFA2	transcript variant 2	NM_001185012.1	NP_001171941.1	11
00000191	5	NDUFA2	transcript variant 3	NR_033697.1	-	11
00000192	12	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	NM_005002.4	NP_004993.1	4
00000193	15	NDUFAF1	transcript variant 1	NM_016013.3	NP_057097.2	29
00000194	15	NDUFAF1	transcript variant 2	NR_045620.1	-	29
00000195	5	NDUFAF2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2	NM_174889.4	NP_777549.1	21
00000196	2	NDUFB3	transcript variant 2	NM_001257102.1	NP_001244031.1	3
00000197	2	NDUFB3	transcript variant 1	NM_002491.2	NP_002482.1	3
00000198	8	NDUFB9	transcript variant 1	NM_005005.2	NP_004996.1	1
00000199	8	NDUFB9	transcript variant 3	NM_001278646.1	NP_001265575.1	1
00000200	8	NDUFB9	transcript variant 2	NM_001278645.1	NP_001265574.1	1
00000201	8	NDUFB9	transcript variant X1	XM_005250924.1	XP_005250981.1	1
00000202	2	NDUFS1	transcript variant 3	NM_001199982.1	NP_001186911.1	64
00000203	2	NDUFS1	transcript variant 4	NM_001199983.1	NP_001186912.1	64
00000204	2	NDUFS1	transcript variant 2	NM_001199981.1	NP_001186910.1	64
00000205	2	NDUFS1	transcript variant 1	NM_005006.6	NP_004997.4	64
00000206	2	NDUFS1	transcript variant 5	NM_001199984.1	NP_001186913.1	64
00000207	1	NDUFS2	transcript variant X1	XM_005245208.1	XP_005245265.1	48
00000208	1	NDUFS2	transcript variant 1	NM_004550.4	NP_004541.1	48
00000209	1	NDUFS2	transcript variant 2	NM_001166159.1	NP_001159631.1	48
00000210	1	NDUFS2	transcript variant X2	XM_005245209.1	XP_005245266.1	48
00000211	11	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)	NM_004551.2	NP_004542.1	18
00000212	5	NDUFS4	transcript variant X1	XM_005248525.1	XP_005248582.1	25
00000213	5	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	NM_002495.2	NP_002486.1	26
00000214	5	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	NM_004553.4	NP_004544.1	12
00000215	19	NDUFS7	transcript variant X1	XM_005259555.1	XP_005259612.1	17
00000216	19	NDUFS7	transcript variant X2	XM_005259556.1	XP_005259613.1	17
00000217	19	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	NM_024407.4	NP_077718.3	17
00000218	11	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	NM_002496.3	NP_002487.1	36
00000219	11	NDUFV1	transcript variant 1	NM_007103.3	NP_009034.2	44
00000220	11	NDUFV1	transcript variant 2	NM_001166102.1	NP_001159574.1	44
00000221	18	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	NM_021074.4	NP_066552.2	18
00000222	2	NFU1	transcript variant 5	NR_045632.1	-	28
00000223	2	NFU1	transcript variant 4	NR_045631.1	-	28
00000224	2	NFU1	transcript variant 2	NM_001002755.2	NP_001002755.1	28
00000225	2	NFU1	transcript variant 3	NM_001002756.2	NP_001002756.1	28
00000226	2	NFU1	transcript variant 1	NM_015700.3	NP_056515.2	28
00000227	14	NUBPL	transcript variant 1	NM_025152.2	NP_079428.2	80
00000228	14	NUBPL	transcript variant 2	NM_001201573.1	NP_001188502.1	65
00000229	3	OPA1	transcript variant 8	NM_130837.2	NP_570850.2	77
00000230	3	OPA1	transcript variant 5	NM_130834.2	NP_570847.2	75
00000231	3	OPA1	transcript variant 7	NM_130836.2	NP_570849.2	75
00000232	3	OPA1	transcript variant 1	NM_015560.2	NP_056375.2	75
00000233	3	OPA1	transcript variant 6	NM_130835.2	NP_570848.1	75
00000234	3	OPA1	transcript variant 3	NM_130832.2	NP_570845.1	75
00000235	3	OPA1	transcript variant 4	NM_130833.2	NP_570846.1	75
00000236	3	OPA1	transcript variant 2	NM_130831.2	NP_570844.1	75
00000237	19	OPA3	transcript variant 1	NM_001017989.2	NP_001017989.2	186
00000238	19	OPA3	transcript variant 2	NM_025136.3	NP_079412.1	168
00000239	11	PC	transcript variant X1	XM_005274030.1	XP_005274087.1	116
00000240	11	PC	transcript variant X2	XM_005274031.1	XP_005274088.1	113
00000241	11	PC	transcript variant X3	XM_005274032.1	XP_005274089.1	113
00000242	11	PC	transcript variant 1	NM_000920.3	NP_000911.2	116
00000243	11	PC	transcript variant 3	NM_001040716.1	NP_001035806.1	126
00000244	11	PC	transcript variant 2	NM_022172.2	NP_071504.2	114
00000245	X	PDHA1	transcript variant 2	NM_001173454.1	NP_001166925.1	58
00000246	X	PDHA1	transcript variant 3	NM_001173455.1	NP_001166926.1	58
00000247	X	PDHA1	transcript variant 1	NM_000284.3	NP_000275.1	58
00000248	X	PDHA1	transcript variant 4	NM_001173456.1	NP_001166927.1	58
00000249	3	PDHB	transcript variant 2	NM_001173468.1	NP_001166939.1	6
00000250	3	PDHB	transcript variant 1	NM_000925.3	NP_000916.2	6
00000251	3	PDHB	transcript variant 3	NR_033384.1	-	6
00000252	11	PDHX	transcript variant 1	NM_003477.2	NP_003468.2	4
00000253	11	PDHX	transcript variant 3	NM_001166158.1	NP_001159630.1	4
00000254	11	PDHX	transcript variant 2	NM_001135024.1	NP_001128496.1	4
00000255	8	PDP1	transcript variant 5	NM_018444.3	NP_060914.2	46
00000256	8	PDP1	transcript variant 3	NM_001161780.1	NP_001155252.1	46
00000257	8	PDP1	transcript variant 2	NM_001161779.1	NP_001155251.1	46
00000258	8	PDP1	transcript variant 4	NM_001161781.1	NP_001155253.1	46
00000259	8	PDP1	transcript variant 1	NM_001161778.1	NP_001155250.1	46
00000260	10	PDSS1	transcript variant X1	XM_005252438.1	XP_005252495.1	28
00000261	10	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	NM_014317.3	NP_055132.2	28
00000262	10	PDSS1	transcript variant X2	XM_005252439.1	XP_005252496.1	22
00000263	6	PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2	NM_020381.3	NP_065114.3	42
00000264	2	PNPT1	polyribonucleotide nucleotidyltransferase 1	NM_033109.4	NP_149100.2	15
00000265	2	PNPT1	transcript variant X1	XM_005264629.1	XP_005264686.1	15
00000266	15	POLG	transcript variant 2	NM_001126131.1	NP_001119603.1	771
00000267	15	POLG	transcript variant 1	NM_002693.2	NP_002684.1	772
00000268	17	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	NM_007215.3	NP_009146.2	27
00000269	12	PUS1	transcript variant 3	NM_001002020.2	NP_001002020.1	34
00000270	12	PUS1	transcript variant 2	NM_001002019.2	NP_001002019.1	34
00000271	12	PUS1	transcript variant 1	NM_025215.5	NP_079491.2	34
00000272	6	RARS2	transcript variant X2	XM_005248736.1	XP_005248793.1	21
00000273	6	RARS2	transcript variant X1	XM_005248735.1	XP_005248792.1	21
00000274	6	RARS2	transcript variant X3	XM_005248737.1	XP_005248794.1	21
00000275	6	RARS2	arginyl-tRNA synthetase 2, mitochondrial	NM_020320.3	NP_064716.2	21
00000276	6	RARS2	transcript variant X4	XR_241848.1	-	21
00000277	2	REEP1	transcript variant 1	NM_001164730.1	NP_001158202.1	0
00000278	2	REEP1	transcript variant 3	NM_001164731.1	NP_001158203.1	0
00000279	2	REEP1	transcript variant 4	NM_001164732.1	NP_001158204.1	0
00000280	2	REEP1	transcript variant 2	NM_022912.2	NP_075063.1	0
00000281	6	RMND1	transcript variant 2	NM_001271937.1	NP_001258866.1	16
00000282	6	RMND1	transcript variant 1	NM_017909.3	NP_060379.2	16
00000283	6	RMND1	transcript variant X1	XM_005267040.1	XP_005267097.1	15
00000284	8	RRM2B	transcript variant 3	NM_001172478.1	NP_001165949.1	122
00000285	8	RRM2B	transcript variant 1	NM_015713.4	NP_056528.2	122
00000286	8	RRM2B	transcript variant 2	NM_001172477.1	NP_001165948.1	122
00000287	19	SARS2	transcript variant 2	NM_017827.3	NP_060297.1	0
00000288	19	SARS2	transcript variant 1	NM_001145901.1	NP_001139373.1	0
00000289	17	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	NM_004589.2	NP_004580.1	34
00000290	22	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast), transcript variant 2	NM_001169109.1	NP_001162580.1	84
00000291	22	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast), transcript variant 3	NM_001169110.1	NP_001162581.1	84
00000292	22	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast), transcript variant 1	NM_005138.2	NP_005129.2	90
00000293	22	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast), transcript variant 4	NM_001169111.1	NP_001162582.1	84
00000294	19	SDHAF1	succinate dehydrogenase complex assembly factor 1	NM_001042631.2	NP_001036096.1	10
00000295	6	SERAC1	serine active site containing 1	NM_032861.3	NP_116250.3	19
00000296	2	SLC19A3	transcript variant X1	XM_005246871.1	XP_005246928.1	0
00000297	2	SLC19A3	solute carrier family 19 (thiamine transporter), member 3	NM_025243.3	NP_079519.1	0
00000298	2	SLC19A3	transcript variant X4	XM_005246874.1	XP_005246931.1	0
00000299	2	SLC19A3	transcript variant X3	XM_005246873.1	XP_005246930.1	0
00000300	2	SLC19A3	transcript variant X2	XM_005246872.1	XP_005246929.1	0
00000301	2	SLC19A3	transcript variant X5	XM_005246875.1	XP_005246932.1	0
00000302	4	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	NM_001151.3	NP_001142.2	66
00000303	11	SLC37A4	transcript variant 3	NM_001164279.1	NP_001157751.1	380
00000304	11	SLC37A4	transcript variant 4	NM_001467.5	NP_001458.1	381
00000305	11	SLC37A4	transcript variant 2	NM_001164278.1	NP_001157750.1	381
00000306	11	SLC37A4	transcript variant 1	NM_001164277.1	NP_001157749.1	381
00000307	11	SLC37A4	transcript variant 5	NM_001164280.1	NP_001157752.1	381
00000308	21	SOD1	superoxide dismutase 1, soluble	NM_000454.4	NP_000445.1	0
00000309	16	SPG7	transcript variant X1	XM_005256321.1	XP_005256378.1	49
00000310	16	SPG7	transcript variant 1	NM_003119.2	NP_003110.1	90
00000311	16	SPG7	transcript variant 2	NM_199367.1	NP_955399.1	46
00000312	13	SUCLA2	transcript variant X1	XM_005266579.1	XP_005266636.1	50
00000313	13	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	NM_003850.2	NP_003841.1	50
00000314	13	SUCLA2	transcript variant X3	XM_005266581.1	XP_005266638.1	50
00000315	13	SUCLA2	transcript variant X2	XM_005266580.1	XP_005266637.1	50
00000316	2	SUCLG1	succinate-CoA ligase, alpha subunit	NM_003849.3	NP_003840.2	47
00000317	9	SURF1	transcript variant 2	NM_001280787.1	NP_001267716.1	54
00000318	9	SURF1	transcript variant 1	NM_003172.3	NP_003163.1	54
00000319	17	TACO1	translational activator of mitochondrially encoded cytochrome c oxidase I	NM_016360.3	NP_057444.2	11
00000320	X	TAZ	transcript variant 5	NR_024048.1	-	403
00000321	X	TAZ	transcript variant 1	NM_000116.3	NP_000107.1	403
00000322	X	TAZ	transcript variant 3	NM_181312.2	NP_851829.1	403
00000323	X	TAZ	transcript variant 2	NM_181311.2	NP_851828.1	403
00000324	X	TAZ	transcript variant 4	NM_181313.2	NP_851830.1	403
00000325	19	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)	NM_006351.3	NP_006342.2	0
00000326	X	TIMM8A	transcript variant X1	XM_005262092.1	XP_005262149.1	16
00000327	X	TIMM8A	transcript variant 1	NM_004085.3	NP_004076.1	16
00000328	X	TIMM8A	transcript variant 2	NM_001145951.1	NP_001139423.1	16
