Symbol	Gene	Chr	Band	Transcripts	Variants	Unique variants	Last updated	Associated with diseases
ABHD11	abhydrolase domain containing 11	7	q11.23	5	0	0	N/A	-
ABHD5	abhydrolase domain containing 5	3	p21.33	1	0	0	N/A	-
ABI1	abl interactor 1	10	p12.1	1	3	3	16-06-2019	-
ACAA1	acetyl-CoA acyltransferase 1	3	p22.2	3	0	0	N/A	-
ACAA2	acetyl-CoA acyltransferase 2	18	q21	3	0	0	N/A	-
ACACA	acetyl-CoA carboxylase alpha	17	q21	5	0	0	N/A	-
ACACB	acetyl-CoA carboxylase beta	12	q24.1	5	0	0	N/A	-
ACAD10	"acyl-CoA dehydrogenase family, member 10"	12	q24.12	2	0	0	N/A	-
ACAD11	"acyl-CoA dehydrogenase family, member 11"	3	q22.1	1	0	0	N/A	-
ACAD8	"acyl-CoA dehydrogenase family, member 8"	11	q25	7	0	0	N/A	-
ACAD9	"acyl-CoA dehydrogenase family, member 9"	3	q21.3	2	69	62	N/A	611126
ACADL	"acyl-CoA dehydrogenase, long chain"	2	q34	2	24	23	N/A	-
ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	1	p31	2	217	205	N/A	ACADMD
ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	12	q24.31	2	147	126	N/A	ACADSD
ACADSB	"acyl-CoA dehydrogenase, short/branched chain"	10	q25-q26	1	0	0	N/A	-
ACADVL	"acyl-CoA dehydrogenase, very long chain"	17	p13.1	4	366	327	N/A	"201460, ACADVLD"
ACAT1	acetyl-CoA acetyltransferase 1	11	q22.3	1	95	85	N/A	203750
ACAT2	acetyl-CoA acetyltransferase 2	6	q25.3-q26	1	0	0	N/A	-
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	11	p11	0	0	0	N/A	-
ACLY	ATP citrate lyase	17	q21.2	7	0	0	N/A	-
ACN9	ACN9 homolog (S. cerevisiae)	7	q22.1	1	0	0	N/A	-
ACO1	"aconitase 1, soluble"	9	p21.1	1	0	0	N/A	-
ACO2	"aconitase 2, mitochondrial"	22	q13.2	3	15	15	N/A	ICRD
ACOT2	acyl-CoA thioesterase 2	14	q24.3	2	0	0	N/A	-
ACOT7	acyl-CoA thioesterase 7	1	p36	4	0	0	N/A	-
ACOT9	acyl-CoA thioesterase 9	X	p22.11	5	0	0	N/A	-
ACOX1	"acyl-CoA oxidase 1, palmitoyl"	17	q25.1	5	0	0	N/A	-
ACOX3	"acyl-CoA oxidase 3, pristanoyl"	4	p15.3	2	0	0	N/A	-
ACP6	"acid phosphatase 6, lysophosphatidic"	1	q21	1	0	0	N/A	-
ACSF3	acyl-CoA synthetase family member 3	16	q24.3	6	0	0	N/A	-
ACSL1	acyl-CoA synthetase long-chain family member 1	4	q35	1	0	0	N/A	-
ACSL4	acyl-CoA synthetase long-chain family member 4	X	q22.3-q23	2	0	0	N/A	-
ACSL5	acyl-CoA synthetase long-chain family member 5	10	q25.1-q25.2	3	0	0	N/A	-
ACSL6	acyl-CoA synthetase long-chain family member 6	5	q31	6	0	0	N/A	-
ACSM1	acyl-CoA synthetase medium-chain family member 1	16	p12.3	5	0	0	N/A	-
ACSM3	acyl-CoA synthetase medium-chain family member 3	16	p13.11	2	0	0	N/A	-
ACSS1	acyl-CoA synthetase short-chain family member 1	20	p11.23-p11.21	4	0	0	N/A	-
ACSS3	acyl-CoA synthetase short-chain family member 3	12	q21.31	5	0	0	N/A	-
ACTC1	"actin, alpha, cardiac muscle 1"	15	q14	1	3	3	18-04-2014	-
ACTG1	"actin, gamma 1"	17	q25	1	0	0	10-12-2013	-
ACTN2	"actinin, alpha 2"	1	q42-q43	2	1	1	18-04-2014	-
ACYP2	"acylphosphatase 2, muscle type"	2	p16.2	1	0	0	N/A	-
ADCK1	aarF domain containing kinase 1	14	q24	2	0	0	N/A	-
ADCK2	aarF domain containing kinase 2	7	q34	2	0	0	N/A	-
ADCK3	aarF domain containing kinase 3	1	q42.11	8	107	99	N/A	COQ10D4
ADCK4	aarF domain containing kinase 4	19	q13.2	2	0	0	N/A	-
ADCK5	aarF domain containing kinase 5	8	q24.3	3	0	0	N/A	-
ADHFE1	"alcohol dehydrogenase, iron containing, 1"	8	q12.3	17	0	0	N/A	-
ADRB2	"adrenoceptor beta 2, surface"	5	q31-q32	1	1	1	26-11-2013	601665
ADRB3	adrenoceptor beta 3	8	p12	1	2	1	26-11-2013	601665
ADSL	adenylosuccinate lyase	22	q13.1	2	0	0	N/A	-
AFG3L2	AFG3-like AAA ATPase 2	18	p11.21	1	14	14	N/A	SCA28
AGK	acylglycerol kinase	7	q34	1	62	60	N/A	212350
AGMAT	agmatine ureohydrolase (agmatinase)	1	p36.13	1	0	0	N/A	-
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	8	p23.1	1	0	0	N/A	-
AGPS	alkylglycerone phosphate synthase	2	q	1	0	0	N/A	-
AGR2	anterior gradient 2	7	p21.3	2	0	0	N/A	-
AGXT	alanine-glyoxylate aminotransferase	2	q37.3	1	0	0	N/A	-
AGXT2	alanine--glyoxylate aminotransferase 2	5	p13	5	0	0	N/A	-
AHCYL1	adenosylhomocysteinase like 1	1	p13	7	0	0	N/A	-
AIFM1	"apoptosis-inducing factor, mitochondrion-associated, 1"	X	q26.1	5	37	37	N/A	COXPD6
AIFM2	"apoptosis-inducing factor, mitochondrion-associated, 2"	10	q22.2	7	0	0	N/A	-
AIFM3	"apoptosis-inducing factor, mitochondrion-associated, 3"	22	q11.21	4	0	0	N/A	-
AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	4	q24	1	1	1	18-04-2014	-
AIPL1	aryl hydrocarbon receptor interacting protein-like 1	17	p13.1	1	8	8	18-04-2014	-
AK2	adenylate kinase 2	1	p35.1	5	34	27	N/A	267500
AK3	adenylate kinase 3	9	p24.1	6	0	0	N/A	-
AK4	adenylate kinase 4	1	p31.3	3	0	0	N/A	-
AKAP1	A kinase (PRKA) anchor protein 1	17	q22	3	0	0	N/A	-
AKAP10	A kinase (PRKA) anchor protein 10	17	p11.1	1	0	0	N/A	-
AKR1B10	"aldo-keto reductase family 1, member B10 (aldose reductase)"	7	q33	4	0	0	N/A	-
AKR1D1	"aldo-keto reductase family 1, member D1"	7	q32-q33	3	0	0	N/A	-
AKR7A2	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"	1	p36.13	1	0	0	N/A	-
AKT2	v-akt murine thymoma viral oncogene homolog 2	19	q13.1-q13.2	1	7	6	26-11-2013	NIDDM
ALAS1	"aminolevulinate, delta-, synthase 1"	3	p21	2	0	0	N/A	-
ALAS2	"aminolevulinate, delta-, synthase 2"	X	p11.21	3	0	0	N/A	-
ALDH18A1	"aldehyde dehydrogenase 18 family, member A1"	10	q24.3-q24.6	4	0	0	N/A	-
ALDH1B1	"aldehyde dehydrogenase 1 family, member B1"	9	p13	1	0	0	N/A	-
ALDH1L1	"aldehyde dehydrogenase 1 family, member L1"	3	q21.2	4	0	0	N/A	-
ALDH1L2	"aldehyde dehydrogenase 1 family, member L2"	12	q23.3	2	0	0	N/A	-
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12	q24.12	2	4	2	N/A	610251
ALDH3A2	"aldehyde dehydrogenase 3 family, member A2"	17	p11.2	2	0	0	N/A	-
ALDH4A1	"aldehyde dehydrogenase 4 family, member A1"	1	p36	3	0	0	N/A	-
ALDH5A1	"aldehyde dehydrogenase 5 family, member A1"	6	p22	2	0	0	N/A	-
ALDH6A1	"aldehyde dehydrogenase 6 family, member A1"	14	q24	4	0	0	N/A	-
ALDH7A1	"aldehyde dehydrogenase 7 family, member A1"	5	q31	5	0	0	N/A	-
ALDH9A1	"aldehyde dehydrogenase 9 family, member A1"	1	q22-q23	1	0	0	N/A	-
ALG1	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"	16	p13.3	1	0	0	N/A	-
ALG12	"ALG12, alpha-1,6-mannosyltransferase"	22	q13.33	1	0	0	N/A	-
ALG2	"ALG2, alpha-1,3/1,6-mannosyltransferase"	9	q31.1	2	0	0	N/A	-
ALG3	"ALG3, alpha-1,3- mannosyltransferase"	3	q27.3	4	0	0	N/A	-
ALG6	"ALG6, alpha-1,3-glucosyltransferase"	1	p31.3	1	0	0	N/A	-
ALG8	"ALG8, alpha-1,3-glucosyltransferase"	11	q14.1	2	0	0	N/A	-
ALG9	"ALG9, alpha-1,2-mannosyltransferase"	11	q23	4	0	0	N/A	-
ALKBH1	"alkB homolog 1, histone H2A dioxygenase"	14	q24	2	0	0	N/A	-
ALKBH3	"alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase"	11	p11.2	1	0	0	N/A	-
ALKBH7	"alkB, alkylation repair homolog 7 (E. coli)"	19	p13.3	1	0	0	N/A	-
AMACR	alpha-methylacyl-CoA racemase	5	p13.2	3	1	1	N/A	-
AMT	aminomethyltransferase	3	p21.2-p21.1	5	102	102	N/A	605899 GCE
ANGEL2	angel homolog 2 (Drosophila)	1	q32.3	12	0	0	N/A	-
ANKRD26	ankyrin repeat domain 26	10	p12.1	9	0	0	N/A	-
APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	X	p11.23	2	0	0	N/A	-
APOA1BP	apolipoprotein A-I binding protein	1	q21	3	0	0	N/A	-
APOO	apolipoprotein O	X	p22.11	6	0	0	N/A	-
APOPT1	"apoptogenic 1, mitochondrial"	14	q32.33	1	5	5	N/A	220110
APTX	aprataxin	9	p13.3	12	25	25	N/A	-
ARF5	ADP ribosylation factor 5	7	q31.3	1	0	0	N/A	-
ARG1	arginase 1	6	q23	2	0	0	N/A	-
ARG2	arginase 2	14	q24.1	1	0	0	N/A	-
ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9	X	q11.1	2	2	2	18-04-2014	-
ARL2	ADP ribosylation factor like GTPase 2	11	q13	2	0	0	N/A	-
ARMC1	armadillo repeat containing 1	8	q12.3	1	0	0	N/A	-
ARMC4	armadillo repeat containing 4	10	p12.1-p11.23	3	0	0	N/A	-
ARMS2	age-related maculopathy susceptibility 2	10	q26.13	1	0	0	N/A	-
ARX	aristaless related homeobox	X	p21.3	1	1	1	18-04-2014	-
AS3MT	arsenic (+3 oxidation state) methyltransferase	10	q24.33	4	0	0	N/A	-
ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	10	q11.23	2	0	0	N/A	-
ASL	argininosuccinate lyase	7	q11.21	4	0	0	N/A	-
ASS1	argininosuccinate synthase 1	9	q34.1	2	15	15	N/A	-
ATAD3A	"ATPase family, AAA domain containing 3A"	1	p36.33	3	0	0	N/A	-
ATAD3B	"ATPase family, AAA domain containing 3B"	1	p36.33	6	0	0	N/A	-
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2	q35	1	0	0	N/A	-
ATL1	atlastin GTPase 1	14	q21.3	3	0	0	N/A	-
ATM	ataxia telangiectasia mutated	11	q22-q23	5	0	0	N/A	-
ATP10D	"ATPase, class V, type 10D"	4	p12	4	0	0	N/A	-
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog (S. cerevisiae)	12	q14.1	0	0	0	N/A	-
ATP5A1	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"	18	q21	3	3	2	N/A	"615228, 616045"
ATP5B	"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide"	12	p13.3	1	0	0	N/A	-
ATP5C1	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"	10	p14	2	0	0	N/A	-
ATP5D	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"	19	p13.3	2	2	2	N/A	-
ATP5E	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"	20	q13.3	1	2	1	N/A	614053
ATP5F1	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1"	1	p13.2	2	0	0	N/A	-
ATP5G1	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)"	17	q21.32	2	0	0	N/A	-
ATP5G2	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)"	12	q13.13	2	0	0	N/A	-
ATP5G3	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)"	2	q31.1	3	0	0	N/A	-
ATP5H	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d"	17	q25	2	0	0	N/A	-
ATP5I	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E"	4	p16.3	2	0	0	N/A	-
ATP5J	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6"	21	q21.1	5	0	0	N/A	-
ATP5J2	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2"	7	q22.1	4	0	0	N/A	-
ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough	7	q22.1	1	0	0	N/A	-
ATP5L	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G"	11	q23.3	2	0	0	N/A	-
ATP5O	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"	21	q22	1	0	0	N/A	-
ATP5S	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)"	14	q21.3	10	0	0	N/A	-
ATP7B	"ATPase, Cu++ transporting, beta polypeptide"	13	q14.3	16	0	0	N/A	-
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	1	p33-p32.3	4	0	0	N/A	-
ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	17	p11.2	2	19	18	14-11-2013	604273
ATPIF1	ATPase inhibitory factor 1	1	p35.3	3	0	0	N/A	-
ATXN10	ataxin 10	22	q13	2	0	0	N/A	-
ATXN2	ataxin 2	12	q23-q24.1	1	0	0	N/A	-
ATXN7	ataxin 7	3	p21.1-p12	1	0	0	N/A	-
AUH	AU RNA binding protein/enoyl-CoA hydratase	9	q22	9	37	33	N/A	MGCA1
AURKAIP1	aurora kinase A interacting protein 1	1	p36.33	3	0	0	N/A	-
AVIL	advillin	12	q14.1	1	9	9	16-06-2019	-
B4GALT1	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"	9	p13	2	0	0	N/A	-
BAD	BCL2-associated agonist of cell death	11	q13.1	2	0	0	N/A	-
BAG3	BCL2-associated athanogene 3	10	q25.2-q26.2	1	6	6	18-04-2014	-
BAK1	BCL2-antagonist/killer 1	6	p21.31	4	0	0	N/A	-
BAX	BCL2-associated X protein	19	q13.3-q13.4	5	0	0	N/A	-
BBOX1	"butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1"	11	p	6	0	0	N/A	-
BCAT1	"branched chain amino-acid transaminase 1, cytosolic"	12	p12.1	5	0	0	N/A	-
BCAT2	"branched chain amino-acid transaminase 2, mitochondrial"	19	q13.33	4	0	0	N/A	-
BCKDHA	"branched chain keto acid dehydrogenase E1, alpha polypeptide"	19	q13.1-q13.2	2	0	0	N/A	-
BCKDHB	"branched chain keto acid dehydrogenase E1, beta polypeptide"	6	q14.1	2	0	0	N/A	-
BCKDK	branched chain ketoacid dehydrogenase kinase	16	p11.2	3	0	0	N/A	-
BCL10	B-cell CLL/lymphoma 10	1	p22	1	12	7	18-08-2014	-
BCL2	B-cell CLL/lymphoma 2	18	q21.3	4	0	0	N/A	-
BCL2L1	BCL2 like 1	20	q11.21	12	0	0	N/A	-
BCL2L13	BCL2-like 13 (apoptosis facilitator)	22	q11	16	0	0	N/A	-
BCL2L2	BCL2 like 2	14	q11.2-q12	2	0	0	N/A	-
BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	2	q35	2	88	71	N/A	"603358, BJS, MC3DN1"
BDH1	"3-hydroxybutyrate dehydrogenase, type 1"	3	q29	3	0	0	N/A	-
BDNF	brain derived neurotrophic factor	11	p14.1	1	1	1	17-06-2019	-
BDNF-AS	BDNF antisense RNA	11	p14.1	1	1	1	17-06-2019	-
BID	BH3 interacting domain death agonist	22	q11.2	7	0	0	N/A	-
BLOC1S1	"biogenesis of lysosomal organelles complex-1, subunit 1"	12	q13-q14	4	0	0	N/A	-
BMPR2	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	2	q33-q34	1	16	16	18-04-2014	-
BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	10	q26.3	1	0	0	N/A	-
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	8	p21	2	0	0	N/A	-
BOLA1	bolA family member 1	1	q21	2	0	0	N/A	-
BOLA3	bolA family member 3	2	p13.1	2	10	10	N/A	MMDS2
BPHL	biphenyl hydrolase-like (serine hydrolase)	6	p25	5	0	0	N/A	-
BRAF	v-raf murine sarcoma viral oncogene homolog B	7	q34	5	0	0	N/A	-
BRCA2	"breast cancer 2, early onset"	13	q12-q13	1	1	1	15-09-2014	-
BTD	biotinidase	3	p25	5	0	0	N/A	-
C10orf10	chromosome 10 open reading frame 10	10	q11.21	1	0	0	N/A	-
C10orf105	chromosome 10 open reading frame 105	10	q22.1	1	5	5	25-06-2018	-
C10orf2	chromosome 10 open reading frame 2	10	q24	5	101	83	N/A	"MTDPS3, MTDPS7, PEOA3, SANDO"
C12orf10	chromosome 12 open reading frame 10	12	q13.13	1	0	0	N/A	-
C12orf65	chromosome 12 open reading frame 65	12	q24.31	5	31	29	N/A	COXPD7
C14orf159	chromosome 14 open reading frame 159	14	q32.11	19	0	0	N/A	-
C14orf2	chromosome 14 open reading frame 2	14	q32.33	2	0	0	N/A	-
C15orf40	chromosome 15 open reading frame 40	15	q25.2	11	0	0	N/A	-
C15orf48	chromosome 15 open reading frame 48	15	q21.1	2	0	0	N/A	-
C15orf61	chromosome 15 open reading frame 61	15	q23	1	0	0	N/A	-
C16orf91	chromosome 16 open reading frame 91	16	p13.3	1	0	0	N/A	-
C19orf12	chromosome 19 open reading frame 12	19	q13.11	1	120	109	18-11-2013	NBIA4
C19orf52	chromosome 19 open reading frame 52	19	p13.2	1	0	0	N/A	-
C1QBP	"complement component 1, q subcomponent binding protein"	17	p13.3	1	6	6	N/A	617713
C1QTNF3	C1q and tumor necrosis factor related protein 3	5	p13	2	0	0	N/A	-
C20orf24	chromosome 20 open reading frame 24	20	q11.23	4	0	0	N/A	-
C21orf33	chromosome 21 open reading frame 33	21	q22.3	7	0	0	N/A	-
C2orf15	chromosome 2 open reading frame 15	2	q11.2	1	0	0	N/A	-
C2orf47	chromosome 2 open reading frame 47	2	q33.1	1	0	0	N/A	-
C2orf69	chromosome 2 open reading frame 69	2	q33.1	1	0	0	N/A	-
C3orf33	chromosome 3 open reading frame 33	3	q25.31	6	0	0	N/A	-
C4orf46	chromosome 4 open reading frame 46	4	q32.1	1	2	2	25-06-2018	-
C5orf63	chromosome 5 open reading frame 63	5	q23.2	12	0	0	N/A	-
C6orf136	chromosome 6 open reading frame 136	6	p21.32	3	0	0	N/A	-
C6orf203	chromosome 6 open reading frame 203	6	q21	3	0	0	N/A	-
C6orf57	chromosome 6 open reading frame 57	6	q12	1	0	0	N/A	-
C7orf10	chromosome 7 open reading frame 10	7	p14	4	3	3	N/A	-
CA5A	"carbonic anhydrase VA, mitochondrial"	16	q24.2	2	0	0	N/A	-
CA5B	"carbonic anhydrase VB, mitochondrial"	X	p22.1	1	0	0	N/A	-
CACNA1F	"calcium channel, voltage-dependent, L type, alpha 1F subunit"	X	p11.23	1	1	1	13-02-2015	-
CAPN10	calpain 10	2	q37.3	1	5	4	15-09-2014	NIDDM
CAPN3	"calpain 3, (p94)"	15	q15.1	10	0	0	N/A	-
CARS2	"cysteinyl-tRNA synthetase 2, mitochondrial (putative)"	13	q34	1	65	65	N/A	616672
CARTPT	CART prepropeptide	5	q13.2	1	2	1	26-11-2013	601665
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	2	q33-q34	6	0	0	N/A	-
CAT	catalase	11	p13	1	0	0	N/A	-
CAV3	caveolin 3	3	p25	2	0	0	N/A	-
CBR3	carbonyl reductase 3	21	q22.2	2	0	0	N/A	-
CBR4	carbonyl reductase 4	4	q32.3	4	0	0	N/A	-
CCDC109B	coiled-coil domain containing 109B	4	q25	2	0	0	N/A	-
CCDC127	coiled-coil domain containing 127	5	p15.33	1	0	0	N/A	-
CCDC51	coiled-coil domain containing 51	3	p21.31	1	0	0	N/A	-
CCDC58	coiled-coil domain containing 58	3	q21.1	1	0	0	N/A	-
CCDC90B	coiled-coil domain containing 90B	11	q14.1	11	0	0	N/A	-
CCT7	"chaperonin containing TCP1, subunit 7 (eta)"	2	p13.2	6	0	0	N/A	-
CDC25C	cell division cycle 25C	5	q31	13	0	0	N/A	-
CDH23	cadherin-related 23	10	q22.1	1	219	218	26-11-2013	500004
CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	6	p22.2	1	5	3	15-08-2014	NIDDM
CDKL5	cyclin-dependent kinase-like 5	X	p22	2	10	10	N/A	-
CECR5	"cat eye syndrome chromosome region, candidate 5"	22	q11.2	2	0	0	N/A	-
CENPL	centromere protein L	1	q25.1	1	2	2	25-06-2018	-
CEP290	centrosomal protein 290kDa	12	q21.33	1	3	3	10-12-2013	-
CEP55	centrosomal protein 55	10	q23.33	1	1	1	17-06-2019	-
CEP85L	centrosomal protein 85kDa-like	6	q22.31	1	3	3	18-04-2014	-
CEP89	centrosomal protein 89	19	q13.11	5	0	0	N/A	-
CERK	ceramide kinase	22	q13.31	1	0	0	N/A	-
CHAT	choline O-acetyltransferase	10	q11.2	7	0	0	N/A	-
CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	10	q22.3	1	0	0	N/A	-
CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	22	q11.23	1	28	28	25-06-2018	616209
CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	7	p11.2	1	0	0	N/A	-
CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	7	q33	3	0	0	N/A	-
CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	3	p25.1	2	0	0	N/A	-
CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2	q14.1	4	0	0	N/A	-
CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	3	q21.3	13	0	0	N/A	-
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	8	q11.23	6	0	0	N/A	-
CHDH	choline dehydrogenase	3	p21	1	0	0	N/A	-
CHKB	choline kinase beta	22	q13.33	1	41	39	N/A	MDCMC
CHKB-CPT1B	CHKB-CPT1B readthrough (NMD candidate)	22	q13.33	1	41	39	18-11-2013	-
CHMP1A	charged multivesicular body protein 1A	16	q24.3	2	1	1	18-04-2014	-
CHPT1	choline phosphotransferase 1	12	q23.2	4	0	0	N/A	-
CIAPIN1	cytokine induced apoptosis inhibitor 1	16	q21	1	3	3	17-06-2019	-
CIB2	calcium and integrin binding family member 2	15	q24	1	0	0	10-12-2013	-
CISD2	CDGSH iron sulfur domain 2	4	q24	2	1	1	N/A	WFS2
CISD3	CDGSH iron sulfur domain 3	17	q12	1	0	0	N/A	-
CKMT1A	"creatine kinase, mitochondrial 1A"	15	q15	1	0	0	N/A	-
CKMT1B	"creatine kinase, mitochondrial 1B"	15	q15	4	0	0	N/A	-
CKMT2	"creatine kinase, mitochondrial 2 (sarcomeric)"	5	q14.1	4	0	0	N/A	-
CLDN14	claudin 14	21	q22.3	1	0	0	10-12-2013	-
CLIC4	chloride intracellular channel 4	1	p	1	0	0	N/A	-
CLN3	"ceroid-lipofuscinosis, neuronal 3"	16	p12	5	0	0	N/A	-
CLN5	"ceroid-lipofuscinosis, neuronal 5"	13	q21.2-q32	2	0	0	N/A	-
CLN6	"ceroid-lipofuscinosis, neuronal 6, late infantile, variant"	15	q23	5	0	0	N/A	-
CLN8	"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)"	8	p23.3	9	0	0	N/A	-
CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	11	q13.4	4	0	0	N/A	-
CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	19	p13.3	1	0	0	N/A	-
CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	15	q22.31	1	0	0	N/A	-
CLRN1	clarin 1	3	q21-q25	1	36	35	26-11-2013	500004
CLRN1-AS1	CLRN1 antisense RNA 1	3	q25.1	1	5	5	25-06-2018	-
CLYBL	citrate lyase beta like	13	q32.3	1	0	0	N/A	-
CMC1	C-x(9)-C motif containing 1	3	p24.1	2	0	0	N/A	-
CMC2	C-x9-C motif containing 2	16	q23.2	2	0	0	N/A	-
CMC4	C-x(9)-C motif containing 4	X	q28	1	0	0	N/A	-
CMPK2	cytidine/uridine monophosphate kinase 2	2	p25.2	6	0	0	N/A	-
COA1	cytochrome c oxidase assembly factor 1 homolog	7	p13	12	0	0	N/A	-
COA3	cytochrome c oxidase assembly factor 3	17	q21.31	1	2	2	N/A	-
COA4	cytochrome c oxidase assembly factor 4 homolog	11	q13.4	1	0	0	N/A	-
COA5	cytochrome c oxidase assembly factor 5	2	q11.2	1	1	1	N/A	"220110, 616500"
COA6	cytochrome c oxidase assembly factor 6	1	q42.2	1	3	3	17-06-2019	616501
COA7	cytochrome c oxidase assembly factor 7 (putative)	1	p32.3	1	0	0	N/A	220110
COASY	Coenzyme A synthase	17	q21.2	7	0	0	N/A	-
COCH	cochlin	14	q11.2-q13	1	0	0	10-12-2013	-
COG1	component of oligomeric golgi complex 1	17	q25.1	4	0	0	N/A	-
COG7	component of oligomeric golgi complex 7	16	p12.2	3	0	0	N/A	-
COG8	component of oligomeric golgi complex 8	16	q22.1	1	0	0	N/A	-
COL11A1	"collagen, type XI, alpha 1"	1	p21	1	0	0	10-12-2013	-
